"","rii","rii_infci","rii_supci","encuesta","ccaa","sexo","nombre","nombre_notilde","abreviatura","id_mapa","fr"
"160",1.52653429596646,1.00160128068294,2.3265814468337,2003-01-01,7,"Hombre","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"161",1.68202764969889,1.1522539722522,2.45537622996565,2003-01-01,8,"Hombre","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"162",1.65367486118276,1.14398753852437,2.39044609702238,2003-01-01,9,"Hombre","Cataluña","Catalunya","CT",69,"diabetes"
"163",1.66030280768323,1.10009880665259,2.50577984134779,2003-01-01,10,"Hombre","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"164",1.67363850179753,1.12867005826675,2.48174018100609,2003-01-01,11,"Hombre","Extremadura","Extremadura","EX",70,"diabetes"
"165",1.69215015273871,1.15239225102543,2.48472005679118,2003-01-01,12,"Hombre","Galicia","Galicia","GA",71,"diabetes"
"166",1.60480138297626,1.092905777412,2.35645883847464,2003-01-01,13,"Hombre","Madrid","Madrid","MD",72,"diabetes"
"167",1.59360699934848,1.10243349001264,2.30361585653876,2003-01-01,14,"Hombre","Murcia","Murcia","MC",73,"diabetes"
"168",1.55581574043411,1.02884827808587,2.35269151899236,2003-01-01,15,"Hombre","Navarra","Navarra","NC",74,"diabetes"
"169",1.58883334241608,1.0948309852662,2.30573615831604,2003-01-01,16,"Hombre","País Vasco","Pais Vasco","PV",75,"diabetes"
"170",1.59042297044004,1.09163874173298,2.3171083328243,2003-01-01,17,"Hombre","La Rioja","La Rioja","RI",76,"diabetes"
"171",1.8257666846596,1.22885150818375,2.71263367836829,2006-01-01,1,"Hombre","Andalucía","Andalucia","AN",61,"diabetes"
"172",1.47698079388264,1.01975255017815,2.13921726904934,2006-01-01,2,"Hombre","Aragón","Aragon","AR",62,"diabetes"
"173",1.61123344405424,1.12340022342609,2.31090679626315,2006-01-01,3,"Hombre","Asturias","Asturias","AS",63,"diabetes"
"174",1.68539507129741,1.13882838332462,2.49427972462458,2006-01-01,4,"Hombre","Balears","Balears","IB",64,"diabetes"
"175",1.59360699934848,1.10676351058909,2.29460335841824,2006-01-01,5,"Hombre","Canarias","Canarias","CN",65,"diabetes"
"176",1.65532936315705,1.09251240214393,2.50808621957314,2006-01-01,6,"Hombre","Cantabria","Cantabria","CB",66,"diabetes"
"177",1.56205146653374,1.08697651220659,2.24476311741727,2006-01-01,7,"Hombre","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"178",1.63394935260557,1.13255936904635,2.35730731637335,2006-01-01,8,"Hombre","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
