"","rii","rii_infci","rii_supci","encuesta","risk_factor","sexo","ccaa"
"118",2.72164381167961,2.22124123318856,3.33477738796556,2003,"alcohol","Overall",0
"119",1.39790384533583,1.22920406316527,1.58975650940551,2006,"alcohol","Overall",0
"120",2.47383602661895,2.21866740645615,2.75835155318435,2009,"alcohol","Overall",0
"121",1.14777334703027,1.06535397675826,1.2365689572603,2011,"alcohol","Overall",0
"122",2.48051174845231,2.22842780709989,2.76111189898383,2014,"alcohol","Overall",0
"123",2.55089950104749,2.31606899065177,2.80953991038634,2017,"alcohol","Overall",0
"124",2.46464970924708,2.23766334996127,2.71466134054386,2020,"alcohol","Overall",0
"125",2.18575703617713,1.52663245741911,3.12945909015628,2003,"alcohol","Hombres",0
"126",1.23065609196431,0.962764516746509,1.57308915144369,2006,"alcohol","Hombres",0
"127",2.29227529442372,1.8922927719671,2.77680394031369,2009,"alcohol","Hombres",0
"128",1.21646219475218,1.06172760240411,1.39374757509418,2011,"alcohol","Hombres",0
"129",2.38743843733498,1.98350698144389,2.87362855053593,2014,"alcohol","Hombres",0
"130",2.62314195295871,2.21851932187763,3.10156131502539,2017,"alcohol","Hombres",0
"131",2.73179911551853,2.32218838265249,3.213661072158,2020,"alcohol","Hombres",0
"132",2.98132517766269,2.32960001351415,3.81537592865896,2003,"alcohol","Mujeres",0
"133",1.46382330520819,1.25817671010746,1.70308244593689,2006,"alcohol","Mujeres",0
"134",2.57429264782388,2.25441874560859,2.93955266720028,2009,"alcohol","Mujeres",0
"135",1.12034915206014,1.02487517443612,1.22471716930062,2011,"alcohol","Mujeres",0
"136",2.51341481624281,2.20305165839205,2.86750154697675,2014,"alcohol","Mujeres",0
"137",2.49501824668326,2.21608466466481,2.80906056999584,2017,"alcohol","Mujeres",0
"138",2.30484056217255,2.04324179367923,2.59993214384586,2020,"alcohol","Mujeres",0
"139",1.79182489823652,1.59492249690418,2.01303603916323,2001,"sedentario","Overall",0
"140",2.67254095390579,2.24974903476363,3.17478751626805,2003,"sedentario","Overall",0
"141",2.11099081861135,1.89039062319868,2.35733407771619,2006,"sedentario","Overall",0
"142",1.35437062182271,1.26900377451788,1.44548016175392,2011,"sedentario","Overall",0
"143",1.8566855863427,1.68187315161321,2.04966787371937,2014,"sedentario","Overall",0
"144",1.99899462648486,1.8248464516667,2.18976205535852,2017,"sedentario","Overall",0
"145",2.33026704857598,2.12643624556658,2.55363617366867,2020,"sedentario","Overall",0
"146",2.01517158458161,1.70653989613203,2.37962002793457,2001,"sedentario","Hombres",0
"147",3.95669259021284,3.02175847200582,5.18089595792653,2003,"sedentario","Hombres",0
"148",2.43767624290784,2.05073925993533,2.89762115610186,2006,"sedentario","Hombres",0
"149",1.34898930099176,1.22219872205837,1.4889331017508,2011,"sedentario","Hombres",0
"150",1.78667844693879,1.5389026852833,2.07434810744249,2014,"sedentario","Hombres",0
"151",1.95687130986387,1.70742862633587,2.24275572302314,2017,"sedentario","Hombres",0
"152",2.32498432439978,2.03172278316,2.6605756225745,2020,"sedentario","Hombres",0
"153",1.61658890349329,1.37327316473383,1.90301518300196,2001,"sedentario","Mujeres",0
"154",2.02239357575001,1.6165834076415,2.53007407839358,2003,"sedentario","Mujeres",0
"155",1.90191070144948,1.64699172406489,2.19628566642726,2006,"sedentario","Mujeres",0
"156",1.36283242533499,1.24971747548989,1.48618568274111,2011,"sedentario","Mujeres",0
"157",1.93903710927701,1.69867071618171,2.21341598188306,2014,"sedentario","Mujeres",0
"158",2.01678080360609,1.78297910770368,2.28124086940788,2017,"sedentario","Mujeres",0
"159",2.347596217364,2.07175757032359,2.66016066682984,2020,"sedentario","Mujeres",0
"160",1.2169288867987,1.10871548161365,1.33570419109668,2001,"food","Overall",0
"161",1.56585630530014,1.34181145990575,1.8273103503084,2003,"food","Overall",0
"162",1.18530991232588,1.08852921895037,1.29069533807529,2006,"food","Overall",0
"163",1.29892534325011,1.18219049658982,1.42718711764676,2009,"food","Overall",0
"164",1.24094847790447,1.17301937443529,1.31281132978283,2011,"food","Overall",0
"165",1.2859349014129,1.19187783818413,1.38741447965101,2014,"food","Overall",0
"166",1.3308827156975,1.24057486934049,1.42776453619762,2017,"food","Overall",0
"167",1.24432213864114,1.15707601499722,1.33814681545895,2020,"food","Overall",0
"168",1.20843901226794,1.06795343668004,1.36740497873282,2001,"food","Hombres",0
"169",1.4074650815158,1.13386238938182,1.74708851288938,2003,"food","Hombres",0
"170",1.14390561438353,1.0112982447817,1.29390124166647,2006,"food","Hombres",0
